date,news_count,news_titles,news_sent_score
2026-02-02,2,主動選債靈活布局！聯博投信募集發行之「聯博優選全球非投資等級債券主動式ETF」，自115年2月4日起掛牌上市；上週外資在集中市場買超174.82億元，買超力積電9.30萬張最多，另賣超群創7.66萬張最多,0.0
2026-02-03,2,臺灣證券交易所有價證券上市審議委員會審議通過華德動能科技股份有限公司初次申請創新板股票上市案；臺灣證券交易所有價證券上市審議委員會審議通過基龍米克斯生物科技股份有限公司初次申請創新板股票上市案,0.0
2026-02-04,5,國泰投信募集發行之「國泰大和日本不動產收息ETF」，自115年2月6日起掛牌上市，為我國第二檔臺日跨境連結式ETF；非投等債巨擘強勢出擊！聯博優選全球非投資等級債券主動式ETF (00984D)正式掛牌 領航全球債市配置新戰略；微程式資訊股份有限公司自本（115）年2月5日起得為融資融券交易；奧義賽博科技股份有限公司CyCraft Technology Corporation (簡稱：奧義賽博-KY創，證券代號:7823）股票自115年2月5日於創新板第一上市開始買賣；臺灣證券交易所訂於2月6日召開有價證券上市審議委員會第880次會議，將審議聚恆科技(股)公司之申請股票創新板上市案,0.0
2026-02-05,1,臺灣證券交易所對麗嬰房股份有限公司（公司代號：2911）違反重大訊息規定，處以新臺幣5萬元違約金,-0.5
2026-02-06,4,國泰大和日本不動產收息ETF（009817）正式掛牌，臺日資本市場合作持續深化；本週發行量加權股價指數跌幅約為0.88%，上市股票總市值達103.62兆元；2026年1月集中市場相關數據；臺灣證券交易所有價證券上市審議委員會審議通過聚恆科技股份有限公司初次申請創新板股票上市案,-0.25
2026-02-09,1,"上週外資在集中市場賣超1,085.64億元，賣超友達7.76萬張最多，另買超凱基金9.60萬張最多",0.0
2026-02-10,3,推動AI新十大建設 證交所舉辦「邁向創新板之路」交流會 以創新板接軌國際；臺灣證券交易所接獲高明鐵企業股份有限公司(代號：4573)函知撤回其股票創新板上市申請案；臺灣證券交易所對聯鈞光電股份有限公司（公司代號：3450）違反重大訊息規定，處以新台幣3萬元違約金,-0.3333333333333333
2026-02-11,5,"今年農曆年全年集中市場加權指數上漲10,080.30點，漲幅約為42.85%；本週發行量加權股價指數漲幅約為5.74%，上市股票總市值達109.54兆元；證交所首度辦理封關典禮—以「五穀豐登 八方共好」傳遞資本市場溫度；全體上市公司(不含金融保險業及三商投資控股股份有限公司)115年1月份當月營收較114年同期成長30.71％；2026年第1季MSCI指數臺股權重調整結果",0.4
2026-02-12,1,"本週外資在集中市場買超1,328.40億元，買超凱基金10.80萬張最多，另賣超力積電7.36萬張最多",0.0
2026-02-23,4,自115年2月24日起，永冠能源科技集團有限公司（永冠-KY，公司代號：1589）上市有價證券列為變更交易方法並採行分盤集合競價交易方式；晶睿通訊股份有限公司(晶睿，公司代號：3454)因進行股份轉換，其有價證券自115年3月19日起停止買賣，並於115年3月27日起終止上市；證交所以職場青年為主角 推出全新證券知識宣導漫畫「不斷轉型突破的我得了MVP!!」；115年2月23日「證券暨期貨業農曆丙午年新春團拜」,0.25
2026-02-25,3,敦泰電子股份有限公司(敦泰，公司代號：3545)上市普通股及以其為標的之認購(售)權證自115年2月26日起暫停交易；捷敏股份有限公司等11家公司預計於115年3月份假證交所場地自行舉辦法人說明會；全體證券商115年1月份稅後淨利252.35億元,0.0
2026-02-26,5,證交所赴印度 GIFT City 簽署MOU，展現亞資中心國際布局成果；期元大S&P黃金反1 ETF(00674R)自115年3月2日起，其受益憑證併同以其為標的之認購(售)權證，證券經紀商於受託買賣時，應先預收足額款券；元大台灣50正2 ETF (00631L) 將進行分割作業，115年3月31日為新受益憑證上市買賣日；本週發行量加權股價指數漲幅約為5.38%，上市股票總市值達115.41兆元；敦泰電子股份有限公司(敦泰，公司代號：3545)上市普通股及以其為標的之上市認購(售)權證自115年3月2日起恢復交易,0.0
2026-03-02,1,"上週外資在集中市場買超1,016.70億元，買超群創37.14萬張最多，另賣超旺宏7.85萬張最多",0.0
2026-03-03,1,上市公司114年度財務報告公告申報期限及注意事項,0.0
2026-03-04,1,國際地緣政治風險升溫，臺股基本面穩健具韌性,-0.5
2026-03-05,3,證交所前進美國引資招商，力拓「亞洲資產管理中心」及「亞洲創新籌資平台」雙目標；臺灣證券交易所訂於3月9日召開有價證券上市審議委員會第881次會議，將審議英屬開曼群島商漢康生技(股)公司之申請股票創新板上市案；從生活到產業鏈：一檔璞玉指數完備台灣經濟全景圖,0.0
2026-03-06,4,臺灣證券交易所獲亞洲資產管理雜誌之亞太區最佳ETF交易所大獎；本週發行量加權股價指數跌幅約為5.12%，上市股票總市值達109.53兆元；2026年02月集中市場相關數據；攜手國際推動性別平權，證交所響應2026年「性別平等敲鐘」活動,0.0
2026-03-09,3,"臺灣證券交易所有價證券上市審議委員會審議通過英屬開曼群島商漢康生技股份有限公司(HanchorBio Inc.)初次申請股票創新板第一上市案；國際情勢影響市場波動 臺股基本面穩健、投資人理性評估；上週外資在集中市場賣超3,170.43億元，賣超台新新光金16.66萬張最多，另買超聯電3.68萬張最多",0.0
